opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,geocode_quality
66341,7-ELEVEN #218,"I-44, EXIT 4",Harrold,TX,770,2.68733333,37.53492,-82.62857,ADDRESS
71079,DK,SR-375,El Paso,TX,640,2.699,39.59973,-116.02794,ADDRESS
64422,Chevron,"I-10, EXIT 858",Vidor,TX,610,2.749,32.22705,-109.87475,POINT
63669,One9 #1248,"I-45, EXIT 271",Wilmer,TX,630,2.75566666,32.59439,-96.68127,ADDRESS
66689,ROSCOE TRAVEL PLAZA,"I-20, EXIT 235",Roscoe,TX,575,2.759,32.43493,-100.55384,ADDRESS
68847,CIRCLE K #2741553,US-190/US-183 & US-281,Lampasas,TX,595,2.759,31.08499,-98.19046,STREET
66705,7-ELEVEN,"I-44, EXIT 1/US-287",Wichita Falls,TX,770,2.76066666,33.90941,-98.50198,INTERSECTION
69164,CIRCLE K #2741557,US-190 & SR-195 & SR-3470,Killeen,TX,765,2.76233333,31.08395,-97.75641,ADDRESS
72775,CEFCO #2089,I-20 EXIT 288,Abilene,TX,575,2.76566666,32.45968,-99.86754,ADDRESS
66332,PWI #172,"I-45, EXIT 258",Palmer,TX,630,2.77566666,32.43338,-96.65986,ADDRESS
60540,CIRCLE K #2706340,"I-20, EXIT 533",Canton,TX,630,2.77566666,32.58066,-95.86179,STREET
1622,RACEWAY #6973,US-380 & SR-114/SR-101,Bridgeport,TX,630,2.78233333,33.22408,-97.76853,ADDRESS
7310,AAA HOSPITALITY,"I-55, EXIT 220",Tillatoba,MS,435,2.784,33.96822,-89.81448,ADDRESS
6180,Circle #4703923,"I-24, EXIT 180B & US-27",Chattanooga,TN,285,2.78566666,35.01898,-85.29468,INTERSECTION
69487,CIRCLE K #2742034,"I-35, EXIT 176",Schertz,TX,740,2.794,29.61189,-98.26406,INTERSECTION
4690,PWI #401,"I-20 & I-30, EXIT 1B",Aledo,TX,630,2.799,32.72085,-97.54003,INTERSECTION
66824,STRIPES #42435,US-87/US-277,San Angelo,TX,740,2.799,31.39387,-100.43219,INTERSECTION
64058,DELTA TOWN TRUCK STOP,"I-10, EXIT 4",Vinton,LA,690,2.799,30.15283,-93.64193,INTERSECTION
65690,CIRCLE G TRUCK STOP,US-183 & SR-97,Gonzales,TX,595,2.799,29.47394,-97.44483,INTERSECTION
68368,AKAL TRAVEL CENTER,I-80 EX 360,Waco,NE,413,2.799,45.53225,-122.6621,ADDRESS
3435,PWI #168,"I-35, EXIT 266 & SR-195",Georgetown,TX,740,2.799,30.65129,-97.67929,ADDRESS
68213,CADOO MILLS,"I-30/US-67, EXIT 87 & FM-1903",Caddo Mills,TX,253,2.80066666,33.01312,-96.21535,POINT
69633,ONE9 EXPRESS FUEL,"I-10, EXIT 42 & FM-1110",Clint,TX,640,2.80233333,31.59587,-106.19018,POINT
66800,CIRCLE K #2743950,I-35,San Antonio,TX,740,2.804,29.43851,-98.47651,STREET
64393,TEX-BEST #505,"I-35, EXIT 183",New Braunfels,TX,740,2.80566666,29.68979,-98.11237,ADDRESS
70040,TEX BEST #503,"I-35, EXIT 215 & CR-210",Kyle,TX,595,2.80566666,29.98703,-97.87327,ADDRESS
65738,CIRCLE K #2741499,SR-35 & FM-1069,Rockport,TX,625,2.80566666,28.02937,-97.08285,INTERSECTION
71108,Stuckeyâ€™s Travel Center West,"I-10, EXIT 819 & FM-1663",Anahuac,TX,610,2.80733333,29.83763,-94.58457,POINT
72774,STUCKEYS TRAVEL CENTER,I-10 EXIT 451,Orange,TX,610,2.80733333,30.11822,-93.82809,POINT
4463,QUIKTRIP #7901,"I-20, EXIT 556 & US-69",Lindale,TX,710,2.80733333,32.52114,-95.41079,ADDRESS
64558,MR FUEL #1203,"I-20, EXIT 129",Meridian,MS,705,2.81233333,32.34571,-88.79901,INTERSECTION
65721,Paradise RV & Truck Park,US-287/US-81,Alvord,TX,770,2.81566666,33.34981,-97.69707,ADDRESS
69962,LUFKIN TRAVEL PLAZA,US-59 & CR-819,Lufkin,TX,618,2.81566666,31.34338,-94.69174,ADDRESS
68256,EXTRA MILE TRUCK STOP,I-30 EXIT 208,Hooks,TX,723,2.81733333,33.47334,-94.29729,INTERSECTION
72899,RACEWAY #7002,US 79 & 59,Carthage,TX,766,2.82066666,32.17112,-94.32295,ADDRESS
66844,CIRCLE K #2706984,US-77 & CR-1356,Kingsville,TX,625,2.82233333,27.52161,-97.84048,ADDRESS
71929,STUCKEYS TRAVEL CENTER,I-10 & FM-365,Beaumont,TX,610,2.824,30.08459,-94.13641,ADDRESS
72634,MURPHY USA #7827,US-385 & US-60,Hereford,TX,585,2.829,34.81357,-102.40113,ADDRESS
72758,CEFCO #1117,I-20 EXIT 617,Marshall,TX,766,2.83233333,32.4908,-94.3641,INTERSECTION
70651,WALBURG TRAVEL CENTER,"I-35, EXIT 266",Georgetown,TX,595,2.83233333,30.64738,-97.68286,ADDRESS
71075,TEXAS TRAVEL CENTER,"I-35, EXIT 277",Jarrell,TX,595,2.83233333,30.82958,-97.60179,INTERSECTION
67313,Majors 660 Diboll Truck Plaza,US-59,Diboll,TX,610,2.83233333,31.14183,-94.80735,STREET
60554,CEFCO #2070,"I-27, EXIT 49",Plainview,TX,700,2.83233333,34.22095,-101.72359,STREET
72695,Quiktrip #7906,"I-20, EXIT 617 & US-59",Marshall,TX,766,2.83733333,32.4908,-94.3641,POINT
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.4056,-96.18016,CITY
3970,EXXON - Pilot #1293,"I-30, EXIT 61",Garland,TX,630,2.84233333,32.84509,-96.58223,ADDRESS
70461,CIRCLE K #2741074,I-35 & FM-1103,New Braunfels,TX,740,2.844,29.68533,-98.12604,ADDRESS
68875,SHEETZ #512,"I-40, EXIT 203 & SR-66",Kernersville,NC,65,2.844,36.12097,-80.06955,ADDRESS
68260,ALVARADO MARKET STATION,"I-35W, EXIT 26A & US-67",Alvarado,TX,637,2.844,32.42112,-97.22942,POINT
66720,MOUNTAIN ENERGY #126,"I-26, EXIT 13",Hendersonville,NC,210,2.84566666,35.29462,-82.40467,POINT
71902,MURPHY EXPRESS #8928,FM-1472,Laredo,TX,693,2.84566666,27.65293,-99.61872,STREET
61684,WOODYS FOOD MART,"I-45 & SR-7, EXIT 164",Centerville,TX,670,2.84566666,31.25798,-95.97941,ADDRESS
72816,QUIKTRIP #7914,I-27 EXIT 117,Amarillo,TX,585,2.84566666,35.18474,-101.84069,ADDRESS
71465,ALLSUPS CONVENIENCE STORE #2173,US-20,Sweetwater,TX,575,2.84566666,42.47156,-71.04923,ADDRESS
66425,CLARK OIL #31,"I-10, EXIT 44",Biloxi,MS,620,2.849,30.45048,-88.9376,INTERSECTION
72951,DK,SR-36,Abilene,TX,575,2.849,32.43656,-99.72138,STREET
73090,Quiktrip #1148,I-26 EXIT 53,Flat Rock,NC,210,2.849,35.29462,-82.40467,INTERSECTION
